#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
pairsred;Pairs Redemption (V1.0, 10/25/94);MAME (Libretro);;1994;Strata/Incredible Technologies;Puzzle / Match;;;;;0;;;;;
pairsred;Pairs Redemption (V1.0, 10/25/94);MAME (Mame4all);;1994;Strata/Incredible Technologies;Puzzle / Match;;;;;0;;;;;
pairsten;Pairs (System Ten) (Japan 890826);Arcade;pairsnb;1989;System Ten;Puzzle / Cards * Mature *;;;;;0;;;;;
pairsten;Pairs (System Ten) (Japan 890826);Final Burn Alpha;pairsnb;1989;System Ten;Puzzle / Cards * Mature *;;;;;0;;;;;
pairsten;Pairs (System Ten) (Japan 890826);MAME (Advance);pairsnb;1989;System Ten;Puzzle / Cards * Mature *;;;;;0;;;;;
pairsten;Pairs (System Ten) (Japan 890826);MAME (Libretro);pairsnb;1989;System Ten;Puzzle / Cards * Mature *;;;;;0;;;;;
pairsten;Pairs (System Ten) (Japan 890826);MAME (Mame4all);pairsnb;1989;System Ten;Puzzle / Cards * Mature *;;;;;0;;;;;
Palamedes (Europe);Palamedes (Europe);Nintendo Game Boy;;1990;Hot B;Puzzle;;;;;0;;;;;
Palamedes II - Star Twinkles (Japan) (Translated En);Palamedes II - Star Twinkles (Japan) (Translated En);Nintendo Famicom;;1991;Hot-B;Puzzle;;;;;0;;;;;
Palamedes (USA);Palamedes (USA);Nintendo Entertainment System;;1990;Hot B;Puzzle;;;;;0;;;;;
palamed;Palamedes (Japan);Arcade;;1990;Taito Corporation;Puzzle;;;;;0;;;;;
palamed;Palamedes (Japan);Arcade;;1990;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
palamed;Palamedes (Japan);Final Burn Alpha;;1990;Taito Corporation;Puzzle;;;;;0;;;;;
palamed;Palamedes (Japan);MAME (Advance);;1990;Taito Corporation;Puzzle;;;;;0;;;;;
palamed;Palamedes (Japan);MAME (Advance);;1990;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
palamed;Palamedes (Japan);MAME (Libretro);;1990;Taito Corporation;Puzzle;;;;;0;;;;;
palamed;Palamedes (Japan);MAME (Libretro);;1990;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
palamed;Palamedes (Japan);MAME (Mame4all);;1990;Taito Corporation;Puzzle;;;;;0;;;;;
palamed;Palamedes (Japan);MAME (Mame4all);;1990;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
Panel de Pon (Japan) (Translated En);Panel de Pon (Japan) (Translated En);Nintendo Super Famicom;;1995;Intelligent Systems;Puzzle;;;;;0;;;;;
Panel no Ninja Kesamaru (Japan);Panel no Ninja Kesamaru (Japan);Nintendo Game Boy;;1992;Epoch;Puzzle;;;;;0;;;;;
Panic Bomber (USA);Panic Bomber (USA);Nintendo Virtual Boy;;1995;Hudson;Puzzle;;;;;0;;;;;
panicbom;Panic Bomber;Arcade;;1994;Eighting / Hudson;Puzzle / Drop;;;;;0;;;;;
panicbom;Panic Bomber;Final Burn Alpha;;1994;Eighting / Hudson;Puzzle / Drop;;;;;0;;;;;
panicbom;Panic Bomber;MAME (Advance);;1994;Eighting / Hudson;Puzzle / Drop;;;;;0;;;;;
panicbom;Panic Bomber;MAME (Libretro);;1994;Eighting / Hudson;Puzzle / Drop;;;;;0;;;;;
panicbom;Panic Bomber;MAME (Mame4all);;1994;Eighting / Hudson;Puzzle / Drop;;;;;0;;;;;
panicbom;Panic Bomber;SNK Neo Geo AES;;1994;Hudson;Puzzle/Miscellaneous;;;;;0;;;;;
Panic Dizzy (Europe);Panic Dizzy (Europe);Sinclair ZX Spectrum;;1991;Codemasters;Puzzle;;;;;0;;;;;
Panic Space (Japan);Panic Space (Japan);Nintendo Famicom Disk System;;1990;Tokuma Shoten Intermedia;Puzzle;;;;;0;;;;;
panicstr;Panic Street (Japan);Arcade;;1999;Kaneko;Puzzle / Outline;;;;;0;;;;;
panicstr;Panic Street (Japan);Final Burn Alpha;;1999;Kaneko;Puzzle / Outline;;;;;0;;;;;
panicstr;Panic Street (Japan);MAME (Advance);;1999;Kaneko;Puzzle / Outline;;;;;0;;;;;
panicstr;Panic Street (Japan);MAME (Libretro);;1999;Kaneko;Puzzle / Outline;;;;;0;;;;;
panicstr;Panic Street (Japan);MAME (Mame4all);;1999;Kaneko;Puzzle / Outline;;;;;0;;;;;
Panic! (USA);Panic! (USA);Sega CD;;1994;Data East;Puzzle;;;;;0;;;;;
para2dx;Paradise 2 Deluxe;Arcade;;199?;Yun Sung;Puzzle / Outline * Mature *;;;;;0;;;;;
para2dx;Paradise 2 Deluxe;Final Burn Alpha;;199?;Yun Sung;Puzzle / Outline * Mature *;;;;;0;;;;;
para2dx;Paradise 2 Deluxe;MAME (Advance);;199?;Yun Sung;Puzzle / Outline * Mature *;;;;;0;;;;;
para2dx;Paradise 2 Deluxe;MAME (Libretro);;199?;Yun Sung;Puzzle / Outline * Mature *;;;;;0;;;;;
para2dx;Paradise 2 Deluxe;MAME (Mame4all);;199?;Yun Sung;Puzzle / Outline * Mature *;;;;;0;;;;;
Parabola (Europe);Parabola (Europe);Amstrad CPC;;1987;Firebird Software;Puzzle;;;;;0;;;;;
paradise;Paradise;Arcade;;199?;Yun Sung;Puzzle / Outline * Mature *;;;;;0;;;;;
paradise;Paradise;Final Burn Alpha;;199?;Yun Sung;Puzzle / Outline * Mature *;;;;;0;;;;;
paradise;Paradise;MAME (Advance);;199?;Yun Sung;Puzzle / Outline * Mature *;;;;;0;;;;;
paradise;Paradise;MAME (Libretro);;199?;Yun Sung;Puzzle / Outline * Mature *;;;;;0;;;;;
paradise;Paradise;MAME (Mame4all);;199?;Yun Sung;Puzzle / Outline * Mature *;;;;;0;;;;;
paradlx;Paradise Deluxe;Arcade;;199?;Yun Sung;Puzzle / Outline * Mature *;;;;;0;;;;;
paradlx;Paradise Deluxe;Final Burn Alpha;;199?;Yun Sung;Puzzle / Outline * Mature *;;;;;0;;;;;
paradlx;Paradise Deluxe;MAME (Advance);;199?;Yun Sung;Puzzle / Outline * Mature *;;;;;0;;;;;
paradlx;Paradise Deluxe;MAME (Libretro);;199?;Yun Sung;Puzzle / Outline * Mature *;;;;;0;;;;;
paradlx;Paradise Deluxe;MAME (Mame4all);;199?;Yun Sung;Puzzle / Outline * Mature *;;;;;0;;;;;
Paragram (Europe);Paragram (Europe);Sinclair ZX Spectrum;;1983;Elephant Software;Puzzle;;;;;0;;;;;
Parallel World (Japan) (Translated En);Parallel World (Japan) (Translated En);Nintendo Famicom;;1990;Varie;Puzzle;;;;;0;;;;;
Paranoimia (Europe);Paranoimia (Europe);Commodore 64;;1991;CP Verlag/Game On;Puzzle;;;;;0;;;;;
Paranom - Elite Squad II (Europe);Paranom - Elite Squad II (Europe);Commodore 64;;1990;CP Verlag/Game On;Puzzle;;;;;0;;;;;
Parejas (Spain);Parejas (Spain);Sinclair ZX Spectrum;;1984;Software Center;Puzzle;;;;;0;;;;;
Pasteman Pat - Billboard (Europe);Pasteman Pat - Billboard (Europe);Sinclair ZX Spectrum;;1989;Silverbird Software;Puzzle;;;;;0;;;;;
Pasteman Pat (Europe);Pasteman Pat (Europe);Amstrad CPC;;1988;Firebird Software;Puzzle;;;;;0;;;;;
Pathal (Europe);Pathal (Europe);Commodore 64;;1989;CP Verlag/Magic Disk 64;Puzzle;;;;;0;;;;;
Pathwords (USA);Pathwords (USA);Commodore 64;;1984;CBS Software;Puzzle;;;;;0;;;;;
Patternia (Europe);Patternia (Europe);Commodore 64;;1992;CP Verlag/Game On;Puzzle;;;;;0;;;;;
pbancho;Gyakuten!! Puzzle Bancho (Japan);Arcade;;1996;Fuuki;Puzzle / Drop;;;;;0;;;;;
pbancho;Gyakuten!! Puzzle Bancho (Japan);Final Burn Alpha;;1996;Fuuki;Puzzle / Drop;;;;;0;;;;;
pbancho;Gyakuten!! Puzzle Bancho (Japan);MAME (Advance);;1996;Fuuki;Puzzle / Drop;;;;;0;;;;;
pbancho;Gyakuten!! Puzzle Bancho (Japan);MAME (Libretro);;1996;Fuuki;Puzzle / Drop;;;;;0;;;;;
pbancho;Gyakuten!! Puzzle Bancho (Japan);MAME (Mame4all);;1996;Fuuki;Puzzle / Drop;;;;;0;;;;;
pbobbl2n;Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo);Arcade;;1999;Taito (SNK license);Puzzle;;;;;0;;;;;
pbobbl2n;Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo);Arcade;;1999;Taito (SNK license);Puzzle / Toss;;;;;0;;;;;
pbobbl2n;Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo);Final Burn Alpha;;1999;Taito (SNK license);;;;;;0;;;;;
pbobbl2n;Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo);Final Burn Alpha;;1999;Taito (SNK license);Puzzle;;;;;0;;;;;
pbobbl2n;Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo);MAME (Advance);;1999;Taito (SNK license);Puzzle;;;;;0;;;;;
pbobbl2n;Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo);MAME (Advance);;1999;Taito (SNK license);Puzzle / Toss;;;;;0;;;;;
pbobbl2n;Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo);MAME (Libretro);;1999;Taito (SNK license);Puzzle;;;;;0;;;;;
pbobbl2n;Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo);MAME (Libretro);;1999;Taito (SNK license);Puzzle / Toss;;;;;0;;;;;
pbobbl2n;Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo);MAME (Mame4all);;1999;Taito (SNK license);Puzzle;;;;;0;;;;;
pbobbl2n;Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo);MAME (Mame4all);;1999;Taito (SNK license);Puzzle / Toss;;;;;0;;;;;
pbobbl2n;Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo);SNK Neo Geo AES;;1999;Taito (SNK license);Puzzle;;;;;0;;;;;
pbobble2j;Puzzle Bobble 2 (Ver 2.2J 1995/07/20);Arcade;pbobble2;1995;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble2j;Puzzle Bobble 2 (Ver 2.2J 1995/07/20);Arcade;pbobble2;1995;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble2j;Puzzle Bobble 2 (Ver 2.2J 1995/07/20);Final Burn Alpha;pbobble2;1995;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble2j;Puzzle Bobble 2 (Ver 2.2J 1995/07/20);MAME (Advance);pbobble2;1995;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble2j;Puzzle Bobble 2 (Ver 2.2J 1995/07/20);MAME (Advance);pbobble2;1995;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble2j;Puzzle Bobble 2 (Ver 2.2J 1995/07/20);MAME (Libretro);pbobble2;1995;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble2j;Puzzle Bobble 2 (Ver 2.2J 1995/07/20);MAME (Libretro);pbobble2;1995;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble2j;Puzzle Bobble 2 (Ver 2.2J 1995/07/20);MAME (Mame4all);pbobble2;1995;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble2j;Puzzle Bobble 2 (Ver 2.2J 1995/07/20);MAME (Mame4all);pbobble2;1995;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble2o;Puzzle Bobble 2 (Ver 2.2O 1995/07/20);Arcade;pbobble2;1995;Taito Corporation Japan;Puzzle;;;;;0;;;;;
pbobble2o;Puzzle Bobble 2 (Ver 2.2O 1995/07/20);Arcade;pbobble2;1995;Taito Corporation Japan;Puzzle / Toss;;;;;0;;;;;
pbobble2o;Puzzle Bobble 2 (Ver 2.2O 1995/07/20);Final Burn Alpha;pbobble2;1995;Taito Corporation Japan;Puzzle;;;;;0;;;;;
pbobble2o;Puzzle Bobble 2 (Ver 2.2O 1995/07/20);MAME (Advance);pbobble2;1995;Taito Corporation Japan;Puzzle;;;;;0;;;;;
pbobble2o;Puzzle Bobble 2 (Ver 2.2O 1995/07/20);MAME (Advance);pbobble2;1995;Taito Corporation Japan;Puzzle / Toss;;;;;0;;;;;
pbobble2o;Puzzle Bobble 2 (Ver 2.2O 1995/07/20);MAME (Libretro);pbobble2;1995;Taito Corporation Japan;Puzzle;;;;;0;;;;;
pbobble2o;Puzzle Bobble 2 (Ver 2.2O 1995/07/20);MAME (Libretro);pbobble2;1995;Taito Corporation Japan;Puzzle / Toss;;;;;0;;;;;
pbobble2o;Puzzle Bobble 2 (Ver 2.2O 1995/07/20);MAME (Mame4all);pbobble2;1995;Taito Corporation Japan;Puzzle;;;;;0;;;;;
pbobble2o;Puzzle Bobble 2 (Ver 2.2O 1995/07/20);MAME (Mame4all);pbobble2;1995;Taito Corporation Japan;Puzzle / Toss;;;;;0;;;;;
pbobble2;Puzzle Bobble 2 (Ver 2.3O 1995/07/31);Arcade;;1995;Taito Corporation Japan;Puzzle;;;;;0;;;;;
pbobble2;Puzzle Bobble 2 (Ver 2.3O 1995/07/31);Arcade;;1995;Taito Corporation Japan;Puzzle / Toss;;;;;0;;;;;
pbobble2;Puzzle Bobble 2 (Ver 2.3O 1995/07/31);Final Burn Alpha;;1995;Taito Corporation Japan;Puzzle;;;;;0;;;;;
pbobble2;Puzzle Bobble 2 (Ver 2.3O 1995/07/31);MAME (Advance);;1995;Taito Corporation Japan;Puzzle;;;;;0;;;;;
pbobble2;Puzzle Bobble 2 (Ver 2.3O 1995/07/31);MAME (Advance);;1995;Taito Corporation Japan;Puzzle / Toss;;;;;0;;;;;
pbobble2;Puzzle Bobble 2 (Ver 2.3O 1995/07/31);MAME (Libretro);;1995;Taito Corporation Japan;Puzzle;;;;;0;;;;;
pbobble2;Puzzle Bobble 2 (Ver 2.3O 1995/07/31);MAME (Libretro);;1995;Taito Corporation Japan;Puzzle / Toss;;;;;0;;;;;
pbobble2;Puzzle Bobble 2 (Ver 2.3O 1995/07/31);MAME (Mame4all);;1995;Taito Corporation Japan;Puzzle;;;;;0;;;;;
pbobble2;Puzzle Bobble 2 (Ver 2.3O 1995/07/31);MAME (Mame4all);;1995;Taito Corporation Japan;Puzzle / Toss;;;;;0;;;;;
pbobble2u;Bust-A-Move Again (Ver 2.3A 1995/07/31);Arcade;pbobble2;1995;Taito America Corporation;Puzzle;;;;;0;;;;;
pbobble2u;Bust-A-Move Again (Ver 2.3A 1995/07/31);Arcade;pbobble2;1995;Taito America Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble2u;Bust-A-Move Again (Ver 2.3A 1995/07/31);Final Burn Alpha;pbobble2;1995;Taito America Corporation;Puzzle;;;;;0;;;;;
pbobble2u;Bust-A-Move Again (Ver 2.3A 1995/07/31);MAME (Advance);pbobble2;1995;Taito America Corporation;Puzzle;;;;;0;;;;;
pbobble2u;Bust-A-Move Again (Ver 2.3A 1995/07/31);MAME (Advance);pbobble2;1995;Taito America Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble2u;Bust-A-Move Again (Ver 2.3A 1995/07/31);MAME (Libretro);pbobble2;1995;Taito America Corporation;Puzzle;;;;;0;;;;;
pbobble2u;Bust-A-Move Again (Ver 2.3A 1995/07/31);MAME (Libretro);pbobble2;1995;Taito America Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble2u;Bust-A-Move Again (Ver 2.3A 1995/07/31);MAME (Mame4all);pbobble2;1995;Taito America Corporation;Puzzle;;;;;0;;;;;
pbobble2u;Bust-A-Move Again (Ver 2.3A 1995/07/31);MAME (Mame4all);pbobble2;1995;Taito America Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble2x;Puzzle Bobble 2X (Ver 2.2J 1995/11/11);Arcade;pbobble2;1995;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble2x;Puzzle Bobble 2X (Ver 2.2J 1995/11/11);Arcade;pbobble2;1995;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble2x;Puzzle Bobble 2X (Ver 2.2J 1995/11/11);Final Burn Alpha;pbobble2;1995;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble2x;Puzzle Bobble 2X (Ver 2.2J 1995/11/11);MAME (Advance);pbobble2;1995;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble2x;Puzzle Bobble 2X (Ver 2.2J 1995/11/11);MAME (Advance);pbobble2;1995;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble2x;Puzzle Bobble 2X (Ver 2.2J 1995/11/11);MAME (Libretro);pbobble2;1995;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble2x;Puzzle Bobble 2X (Ver 2.2J 1995/11/11);MAME (Libretro);pbobble2;1995;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble2x;Puzzle Bobble 2X (Ver 2.2J 1995/11/11);MAME (Mame4all);pbobble2;1995;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble2x;Puzzle Bobble 2X (Ver 2.2J 1995/11/11);MAME (Mame4all);pbobble2;1995;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble3j;Puzzle Bobble 3 (Ver 2.1J 1996/09/27);Arcade;pbobble3;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3j;Puzzle Bobble 3 (Ver 2.1J 1996/09/27);Arcade;pbobble3;1996;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble3j;Puzzle Bobble 3 (Ver 2.1J 1996/09/27);Final Burn Alpha;pbobble3;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3j;Puzzle Bobble 3 (Ver 2.1J 1996/09/27);MAME (Advance);pbobble3;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3j;Puzzle Bobble 3 (Ver 2.1J 1996/09/27);MAME (Advance);pbobble3;1996;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble3j;Puzzle Bobble 3 (Ver 2.1J 1996/09/27);MAME (Libretro);pbobble3;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3j;Puzzle Bobble 3 (Ver 2.1J 1996/09/27);MAME (Libretro);pbobble3;1996;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble3j;Puzzle Bobble 3 (Ver 2.1J 1996/09/27);MAME (Mame4all);pbobble3;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3j;Puzzle Bobble 3 (Ver 2.1J 1996/09/27);MAME (Mame4all);pbobble3;1996;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble3;Puzzle Bobble 3 (Ver 2.1O 1996/09/27);Arcade;;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3;Puzzle Bobble 3 (Ver 2.1O 1996/09/27);Arcade;;1996;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble3;Puzzle Bobble 3 (Ver 2.1O 1996/09/27);Final Burn Alpha;;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3;Puzzle Bobble 3 (Ver 2.1O 1996/09/27);MAME (Advance);;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3;Puzzle Bobble 3 (Ver 2.1O 1996/09/27);MAME (Advance);;1996;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble3;Puzzle Bobble 3 (Ver 2.1O 1996/09/27);MAME (Libretro);;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3;Puzzle Bobble 3 (Ver 2.1O 1996/09/27);MAME (Libretro);;1996;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble3;Puzzle Bobble 3 (Ver 2.1O 1996/09/27);MAME (Mame4all);;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3;Puzzle Bobble 3 (Ver 2.1O 1996/09/27);MAME (Mame4all);;1996;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble3u;Puzzle Bobble 3 (Ver 2.1A 1996/09/27);Arcade;pbobble3;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3u;Puzzle Bobble 3 (Ver 2.1A 1996/09/27);Arcade;pbobble3;1996;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble3u;Puzzle Bobble 3 (Ver 2.1A 1996/09/27);Final Burn Alpha;pbobble3;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3u;Puzzle Bobble 3 (Ver 2.1A 1996/09/27);MAME (Advance);pbobble3;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3u;Puzzle Bobble 3 (Ver 2.1A 1996/09/27);MAME (Advance);pbobble3;1996;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble3u;Puzzle Bobble 3 (Ver 2.1A 1996/09/27);MAME (Libretro);pbobble3;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3u;Puzzle Bobble 3 (Ver 2.1A 1996/09/27);MAME (Libretro);pbobble3;1996;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble3u;Puzzle Bobble 3 (Ver 2.1A 1996/09/27);MAME (Mame4all);pbobble3;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3u;Puzzle Bobble 3 (Ver 2.1A 1996/09/27);MAME (Mame4all);pbobble3;1996;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble4j;Puzzle Bobble 4 (Ver 2.04J 1997/12/19);Arcade;pbobble4;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4j;Puzzle Bobble 4 (Ver 2.04J 1997/12/19);Arcade;pbobble4;1997;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble4j;Puzzle Bobble 4 (Ver 2.04J 1997/12/19);Final Burn Alpha;pbobble4;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4j;Puzzle Bobble 4 (Ver 2.04J 1997/12/19);MAME (Advance);pbobble4;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4j;Puzzle Bobble 4 (Ver 2.04J 1997/12/19);MAME (Advance);pbobble4;1997;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble4j;Puzzle Bobble 4 (Ver 2.04J 1997/12/19);MAME (Libretro);pbobble4;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4j;Puzzle Bobble 4 (Ver 2.04J 1997/12/19);MAME (Libretro);pbobble4;1997;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble4j;Puzzle Bobble 4 (Ver 2.04J 1997/12/19);MAME (Mame4all);pbobble4;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4j;Puzzle Bobble 4 (Ver 2.04J 1997/12/19);MAME (Mame4all);pbobble4;1997;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble4;Puzzle Bobble 4 (Ver 2.04O 1997/12/19);Arcade;;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4;Puzzle Bobble 4 (Ver 2.04O 1997/12/19);Arcade;;1997;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble4;Puzzle Bobble 4 (Ver 2.04O 1997/12/19);Final Burn Alpha;;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4;Puzzle Bobble 4 (Ver 2.04O 1997/12/19);MAME (Advance);;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4;Puzzle Bobble 4 (Ver 2.04O 1997/12/19);MAME (Advance);;1997;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble4;Puzzle Bobble 4 (Ver 2.04O 1997/12/19);MAME (Libretro);;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4;Puzzle Bobble 4 (Ver 2.04O 1997/12/19);MAME (Libretro);;1997;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble4;Puzzle Bobble 4 (Ver 2.04O 1997/12/19);MAME (Mame4all);;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4;Puzzle Bobble 4 (Ver 2.04O 1997/12/19);MAME (Mame4all);;1997;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble4u;Puzzle Bobble 4 (Ver 2.04A 1997/12/19);Arcade;pbobble4;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4u;Puzzle Bobble 4 (Ver 2.04A 1997/12/19);Arcade;pbobble4;1997;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble4u;Puzzle Bobble 4 (Ver 2.04A 1997/12/19);Final Burn Alpha;pbobble4;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4u;Puzzle Bobble 4 (Ver 2.04A 1997/12/19);MAME (Advance);pbobble4;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4u;Puzzle Bobble 4 (Ver 2.04A 1997/12/19);MAME (Advance);pbobble4;1997;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble4u;Puzzle Bobble 4 (Ver 2.04A 1997/12/19);MAME (Libretro);pbobble4;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4u;Puzzle Bobble 4 (Ver 2.04A 1997/12/19);MAME (Libretro);pbobble4;1997;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble4u;Puzzle Bobble 4 (Ver 2.04A 1997/12/19);MAME (Mame4all);pbobble4;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4u;Puzzle Bobble 4 (Ver 2.04A 1997/12/19);MAME (Mame4all);pbobble4;1997;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobblenb;Puzzle Bobble / Bust-A-Move (Neo-Geo) (bootleg);Arcade;pbobblen;1994;bootleg;Puzzle / Toss;;;;;0;;;;;
pbobblenb;Puzzle Bobble / Bust-A-Move (Neo-Geo) (bootleg) [Bootleg];Final Burn Alpha;pbobblen;1994;Taito;;;;;;0;;;;;
pbobblenb;Puzzle Bobble / Bust-A-Move (Neo-Geo) (bootleg);Final Burn Alpha;pbobblen;1994;bootleg;Puzzle / Toss;;;;;0;;;;;
pbobblenb;Puzzle Bobble / Bust-A-Move (Neo-Geo) (bootleg);MAME (Advance);pbobblen;1994;bootleg;Puzzle / Toss;;;;;0;;;;;
pbobblenb;Puzzle Bobble / Bust-A-Move (Neo-Geo) (bootleg);MAME (Libretro);pbobblen;1994;bootleg;Puzzle / Toss;;;;;0;;;;;
pbobblenb;Puzzle Bobble / Bust-A-Move (Neo-Geo) (bootleg);MAME (Mame4all);pbobblen;1994;bootleg;Puzzle / Toss;;;;;0;;;;;
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo) (NGM-083);Arcade;;1994;Taito;Puzzle;;;;;0;;;;;
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo) (NGM-083);Arcade;;1994;Taito;Puzzle / Toss;;;;;0;;;;;
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo) (NGM-083);Final Burn Alpha;;1994;Taito;;;;;;0;;;;;
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo) (NGM-083);Final Burn Alpha;;1994;Taito;Puzzle;;;;;0;;;;;
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo) (NGM-083);MAME (Advance);;1994;Taito;Puzzle;;;;;0;;;;;
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo) (NGM-083);MAME (Advance);;1994;Taito;Puzzle / Toss;;;;;0;;;;;
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo) (NGM-083);MAME (Libretro);;1994;Taito;Puzzle;;;;;0;;;;;
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo) (NGM-083);MAME (Libretro);;1994;Taito;Puzzle / Toss;;;;;0;;;;;
